name	main	side	extra	total	main_weighted	side_weighted	extra_weighted	total_weighted
Cyber Dragon	363	46	0	409	363	46	0	409
Cyber End Dragon	0	0	202	0	0	0	202	0
Cyber Jar	34	3	0	37	102	9	0	111
Cyber Saurus	0	0	3	0	0	0	3	0
Cyber Twin Dragon	0	0	224	0	0	0	224	0
Cyber-Stein	69	9	0	78	69	9	0	78
D.3.S. Frog	0	0	8	0	0	0	8	0
D.D. Assailant	151	19	0	170	151	19	0	170
D.D. Crazy Beast	4	0	0	4	4	0	0	4
D.D. Designator	0	1	0	1	0	1	0	1
D.D. Survivor	32	15	0	47	32	15	0	47
D.D. Warrior	8	1	0	9	8	1	0	9
D.D. Warrior Lady	150	8	0	158	450	24	0	474
Dark Balter the Terrible	0	0	154	0	0	0	154	0
Dark Blade the Dragon Knight	0	0	102	0	0	0	102	0
Dark Deal	2	1	0	3	2	1	0	3
Dark Dust Spirit	6	4	0	10	6	4	0	10
Dark Flare Knight	0	0	43	0	0	0	43	0
Dark Hole	202	0	0	202	606	0	0	606
Dark Jeroid	1	0	0	1	1	0	0	1
Dark Magician of Chaos	1	0	0	1	3	0	0	3
Dark Mimic LV1	23	2	0	25	23	2	0	25
Dark Mimic LV3	23	1	0	24	23	1	0	24
Dark Necrofear	2	0	0	2	2	0	0	2
Dark Paladin	0	0	2	0	0	0	2	0
Dark Ruler Ha Des	34	52	0	86	34	52	0	86
Dark Scorpion - Cliff the Trap Remover	1	14	0	15	1	14	0	15
Dark Scorpion - Meanae the Thorn	3	2	0	5	3	2	0	5
Dark World Lightning	2	1	0	3	2	1	0	3
Darkfire Dragon	0	0	54	0	0	0	54	0
De-Spell	0	3	0	3	0	3	0	3
Deck Devastation Virus	3	0	0	3	9	0	0	9
Deepsea Shark	0	0	1	0	0	0	1	0
Dekoichi the Battlechanted Locomotive	133	3	0	136	133	3	0	136
Des Koala	15	11	0	26	15	11	0	26
Des Lacooda	4	0	0	4	4	0	0	4
Des Wombat	3	28	0	31	3	28	0	31
Despair from the Dark	0	2	0	2	0	2	0	2
Dice Jar	1	0	0	1	1	0	0	1
Different Dimension Gate	2	0	0	2	2	0	0	2
Dimension Fusion	3	1	0	4	3	1	0	4
Dimension Wall	3	0	0	3	3	0	0	3
Divine Wrath	1	2	0	3	1	2	0	3
Don Zaloog	79	3	0	82	79	3	0	82
Doom Dozer	2	0	0	2	2	0	0	2
Double Snare	0	4	0	4	0	4	0	4
Dragoness the Wicked Knight	0	0	46	0	0	0	46	0
Draining Shield	0	3	0	3	0	3	0	3
Drillroid	10	14	0	24	10	14	0	24
Dust Tornado	112	242	0	354	112	242	0	354
Electric Snake	0	3	0	3	0	3	0	3
Elemental HERO Flame Wingman	0	0	4	0	0	0	4	0
Elemental HERO Steam Healer	0	0	3	0	0	0	3	0
Elemental HERO Tempest	0	0	2	0	0	0	2	0
Elemental HERO Thunder Giant	0	0	2	0	0	0	2	0
Elemental HERO Wildedge	0	0	2	0	0	0	2	0
Elemental HERO Wildheart	3	0	0	3	3	0	0	3
Elephant Statue of Disaster	0	1	0	1	0	1	0	1
Emergency Provisions	0	1	0	1	0	1.5	0	1.5
Empress Judge	0	0	5	0	0	0	5	0
Enemy Controller	142	18	0	160	142	18	0	160
Enraged Battle Ox	0	1	0	1	0	1	0	1
Enraged Muka Muka	0	2	0	2	0	2	0	2
Exarion Universe	6	1	0	7	6	1	0	7
Exchange of the Spirit	2	1	0	3	6	3	0	9
Exiled Force	137	11	0	148	411	33	0	444
Fiend Skull Dragon	0	0	120	0	0	0	120	0
Fissure	1	1	0	2	1	1	0	2
Flame Ghost	0	0	10	0	0	0	10	0
Flame Swordsman	0	0	4	0	0	0	4	0
Flying Kamakiri #1	12	0	0	12	12	0	0	12
Freed the Brave Wanderer	3	0	0	3	3	0	0	3
Fusionist	0	0	12	0	0	0	12	0
Gaia the Dragon Champion	0	0	3	0	0	0	3	0
Gatling Dragon	0	0	163	0	0	0	163	0
Gear Golem the Moving Fortress	1	0	0	1	1	0	0	1
Getsu Fuhma	3	3	0	6	3	3	0	6
Giant Germ	3	0	0	3	3	0	0	3
Giant Rat	48	1	0	49	48	1	0	49
Giant Trunade	42	79	0	121	42	79	0	121
Gigantes	12	3	0	15	12	3	0	15
Giltia the D. Knight	0	0	5	0	0	0	5	0
Goblin Attack Force	5	2	0	7	5	2	0	7
Goblin Elite Attack Force	5	1	0	6	5	1	0	6
Goldd, Wu-Lord of Dark World	8	17	0	25	8	17	0	25
Gora Turtle	1	2	0	3	1	2	0	3
Granmarg the Rock Monarch	4	1	0	5	4	1	0	5
Gravekeeper's Assailant	3	0	0	3	3	0	0	3
Gravekeeper's Guard	5	0	0	5	5	0	0	5
Gravekeeper's Spear Soldier	2	2	0	4	2	2	0	4
Gravekeeper's Spy	52	17	0	69	52	17	0	69
Gravity Bind	14	15	0	29	21	22.5	0	43.5
Gyaku-Gire Panda	20	1	0	21	20	1	0	21
Hallowed Life Barrier	0	9	0	9	0	9	0	9
Hammer Shot	0	2	0	2	0	2	0	2
Hand of Nephthys	7	2	0	9	7	2	0	9
Heavy Storm	200	1	0	201	600	3	0	603
Horus the Black Flame Dragon LV4	1	0	0	1	1	0	0	1
Horus the Black Flame Dragon LV6	1	1	0	2	1	1	0	2
Horus the Black Flame Dragon LV8	1	1	0	2	1	1	0	2
Humanoid Worm Drake	0	0	4	0	0	0	4	0
Hydrogeddon	21	24	0	45	21	24	0	45
Hyper Hammerhead	2	0	0	2	2	0	0	2
Inaba White Rabbit	2	0	0	2	2	0	0	2
Injection Fairy Lily	12	4	0	16	36	12	0	48
Invader of Darkness	0	1	0	1	0	1	0	1
Iron Blacksmith Kotetsu	2	0	0	2	2	0	0	2
Jar of Greed	13	2	0	15	13	2	0	15
Jinzo	34	38	0	72	102	114	0	216
Judgment of Anubis	1	1	0	2	1	1	0	2
Just Desserts	17	2	0	19	17	2	0	19
Kaiser Colosseum	6	0	0	6	6	0	0	6
Kaminari Attack	0	0	4	0	0	0	4	0
Karbonala Warrior	0	0	3	0	0	0	3	0
Karma Cut	0	3	0	3	0	3	0	3
King Dragun	0	0	124	0	0	0	124	0
King Tiger Wanghu	38	61	0	99	38	61	0	99
Kuriboh	0	49	0	49	0	49	0	49
Kycoo the Ghost Destroyer	98	120	0	218	98	120	0	218
Labyrinth Tank	0	0	3	0	0	0	3	0
Lady Ninja Yae	1	2	0	3	1	2	0	3
Last Will	150	2	0	152	150	2	0	152
Lava Golem	12	1	0	13	12	1	0	13
Legendary Jujitsu Master	7	11	0	18	7	11	0	18
Lekunga	3	0	0	3	3	0	0	3
Level Limit - Area B	30	11	0	41	45	16.5	0	61.5
Level Up!	3	0	0	3	3	0	0	3
Light of Intervention	0	2	0	2	0	2	0	2
Lightning Vortex	9	12	0	21	27	36	0	63
Limiter Removal	7	1	0	8	21	3	0	24
Mage Power	1	0	0	1	3	0	0	3
Magic Cylinder	9	7	0	16	27	21	0	48
Magic Drain	1	1	0	2	1	1	0	2
Magic Jammer	0	4	0	4	0	4	0	4
Magical Merchant	58	3	0	61	58	3	0	61
Magician of Faith	70	2	0	72	210	6	0	216
Manju of the Ten Thousand Hands	6	0	0	6	6	0	0	6
Marauding Captain	2	0	0	2	2	0	0	2
Mask of Darkness	5	4	0	9	5	4	0	9
Mask of Restrict	1	77	0	78	1	77	0	78
Masked Dragon	3	0	0	3	3	0	0	3
Mass Driver	0	1	0	1	0	1	0	1
Master of Oz	0	0	64	0	0	0	64	0
Mataza the Zapper	8	5	0	13	8	5	0	13
Mefist the Infernal General	0	7	0	7	0	7	0	7
Megamorph	12	3	0	15	12	3	0	15
Messenger of Peace	12	10	0	22	12	10	0	22
Metamorphosis	24	13	0	37	72	39	0	111
Mid Shield Gardna	0	1	0	1	0	1	0	1
Milus Radiant	21	0	0	21	21	0	0	21
Mind Control	0	6	0	6	0	6	0	6
Mind Crush	0	5	0	5	0	5	0	5
Mirage Dragon	2	0	0	2	2	0	0	2
Mirror Wall	1	1	0	2	1	1	0	2
Mobius the Frost Monarch	181	135	0	316	181	135	0	316
Mokey Mokey King	0	0	14	0	0	0	14	0
Morphing Jar	24	15	0	39	72	45	0	117
Mother Grizzly	32	1	0	33	32	1	0	33
Musician King	0	0	1	0	0	0	1	0
My Body as a Shield	8	2	0	10	8	2	0	10
Mystic Swordsman LV2	55	99	0	154	55	99	0	154
Mystic Tomato	205	6	0	211	205	6	0	211
Mystical Space Typhoon	183	19	0	202	549	57	0	606
Mystik Wok	1	10	0	11	1	10	0	11
Necrovalley	3	0	0	3	3	0	0	3
Needle Ceiling	0	1	0	1	0	1	0	1
Newdoria	34	8	0	42	34	8	0	42
Night Assailant	2	5	0	7	6	15	0	21
Nightmare Wheel	7	3	0	10	7	3	0	10
Nightmare's Steelcage	4	0	0	4	4	0	0	4
Nimble Momonga	6	3	0	9	6	3	0	9
Ninja Grandmaster Sasuke	25	4	0	29	25	4	0	29
Ninjitsu Art of Transformation	0	1	0	1	0	1	0	1
Nobleman of Crossout	157	21	0	178	471	63	0	534
Nobleman of Extermination	2	11	0	13	2	11	0	13
Offerings to the Doomed	1	5	0	6	1	5	0	6
Ojama King	0	0	96	0	0	0	96	0
Ojama Trio	20	0	0	20	20	0	0	20
Old Vindictive Magician	7	0	0	7	7	0	0	7
Ordeal of a Traveler	0	1	0	1	0	1	0	1
Outstanding Dog Marron	0	1	0	1	0	1	0	1
Phoenix Wing Wind Blast	20	11	0	31	20	11	0	31
Poison of the Old Man	4	3	0	7	4	3	0	7
Pot of Avarice	38	8	0	46	38	8	0	46
Premature Burial	172	0	0	172	516	0	0	516
Princess of Tsurugi	2	0	0	2	2	0	0	2
Prohibition	0	12	0	12	0	12	0	12
Protector of the Sanctuary	1	0	0	1	3	0	0	3
Pyramid Turtle	22	2	0	24	22	2	0	24
Raigeki Break	70	19	0	89	70	19	0	89
Reaper on the Nightmare	0	0	112	0	0	0	112	0
Reasoning	1	0	0	1	1	0	0	1
Reckless Greed	5	0	0	5	15	0	0	15
Reflect Bounder	0	2	0	2	0	6	0	6
Reinforcement of the Army	169	23	0	192	253.5	34.5	0	288
Relinquished	4	0	0	4	4	0	0	4
Reload	3	0	0	3	3	0	0	3
Remove Trap	0	2	0	2	0	2	0	2
Rescue Cat	21	0	0	21	21	0	0	21
Return from the Different Dimension	74	12	0	86	74	12	0	86
Rising Air Current	0	3	0	3	0	3	0	3
Rite of Spirit	2	1	0	3	2	1	0	3
Rivalry of Warlords	4	5	0	9	4	5	0	9
Roaring Ocean Snake	0	0	3	0	0	0	3	0
Robbin' Goblin	4	0	0	4	4	0	0	4
Roulette Barrel	1	0	0	1	1	0	0	1
Royal Command	0	2	0	2	0	2	0	2
Royal Decree	8	144	0	152	8	144	0	152
Royal Oppression	0	2	0	2	0	2	0	2
Royal Tribute	1	0	0	1	1	0	0	1
Rush Recklessly	1	1	0	2	1	1	0	2
Ryu Kokki	15	1	0	16	15	1	0	16
Ryu Senshi	0	0	149	0	0	0	149	0
Saber Beetle	0	1	0	1	0	1	0	1
Sacred Crane	3	0	0	3	3	0	0	3
Sacred Phoenix of Nephthys	6	2	0	8	18	6	0	24
Sakuretsu Armor	342	49	0	391	342	49	0	391
Sand Moth	5	3	0	8	5	3	0	8
Sangan	190	0	0	190	570	0	0	570
Sanwitch	0	0	20	0	0	0	20	0
Sasuke Samurai	5	2	0	7	5	2	0	7
Sasuke Samurai #4	18	2	0	20	18	2	0	20
Scapegoat	53	24	0	77	159	72	0	231
Second Coin Toss	4	0	0	4	4	0	0	4
Secret Barrel	15	0	0	15	15	0	0	15
Self-Destruct Button	0	1	0	1	0	1	0	1
Seven Tools of the Bandit	1	4	0	5	1	4	0	5
Shining Angel	11	0	0	11	11	0	0	11
Silent Swordsman LV5	0	1	0	1	0	1	0	1
Sillva, Warlord of Dark World	2	7	0	9	2	7	0	9
Silpheed	6	0	0	6	6	0	0	6
Skelengel	3	0	0	3	3	0	0	3
Skill Drain	2	14	0	16	2	14	0	16
Skilled Dark Magician	12	0	0	12	12	0	0	12
Skull Lair	1	0	0	1	1	0	0	1
Slate Warrior	7	2	0	9	7	2	0	9
Smashing Ground	220	51	0	271	220	51	0	271
Snatch Steal	194	3	0	197	582	9	0	591
Solemn Judgment	92	87	0	179	92	87	0	179
Soul Exchange	41	14	0	55	41	14	0	55
Spell Canceller	0	15	0	15	0	15	0	15
Spell Shield Type-8	0	6	0	6	0	6	0	6
Spirit Reaper	341	41	0	382	341	41	0	382
Spiritual Water Art - Aoi	7	2	0	9	7	2	0	9
Spiritual Wind Art - Miyabi	12	0	0	12	12	0	0	12
St. Joan	0	0	7	0	0	0	7	0
Stealth Bird	18	26	0	44	18	26	0	44
Steam Gyroid	0	0	13	0	0	0	13	0
Steamroid	4	0	0	4	4	0	0	4
Strike Ninja	26	8	0	34	26	8	0	34
Super Robolady	0	0	8	0	0	0	8	0
Super Roboyarou	0	0	7	0	0	0	7	0
Swarm of Locusts	0	6	0	6	0	6	0	6
Swarm of Scarabs	1	1	0	2	1	1	0	2
Swords of Revealing Light	47	7	0	54	141	21	0	162
System Down	0	1	0	1	0	1	0	1
Terraforming	2	1	0	3	2	1	0	3
The Big March of Animals	8	0	0	8	8	0	0	8
The End of Anubis	0	5	0	5	0	5	0	5
The Last Warrior from Another Planet	0	0	123	0	0	0	123	0
The Wicked Worm Beast	3	0	0	3	3	0	0	3
Thestalos the Firestorm Monarch	106	4	0	110	106	4	0	110
Thousand-Eyes Restrict	0	0	148	0	0	0	444	0
Threatening Roar	65	180	0	245	65	180	0	245
Thunder Dragon	15	0	0	15	15	0	0	15
Time Seal	4	0	0	4	4	0	0	4
Time Wizard	1	0	0	1	1	0	0	1
Torrential Tribute	178	17	0	195	534	51	0	585
Trap Dustshoot	32	149	0	181	32	149	0	181
Trap Hole	12	9	0	21	12	9	0	21
Treeborn Frog	138	9	0	147	138	9	0	147
Tribute to the Doomed	1	6	0	7	1	6	0	7
Tsukuyomi	48	10	0	58	144	30	0	174
Twin-Headed Behemoth	6	0	0	6	18	0	0	18
Twin-Headed Thunder Dragon	0	0	23	0	0	0	23	0
UFO Turtle	3	0	0	3	3	0	0	3
UFOroid Fighter	0	0	8	0	0	0	8	0
Ultimate Insect LV3	2	0	0	2	2	0	0	2
Ultimate Insect LV5	2	0	0	2	2	0	0	2
United We Stand	7	1	0	8	21	3	0	24
Upstart Goblin	10	0	0	10	15	0	0	15
Vampire Lord	6	1	0	7	6	1	0	7
Waboku	2	59	0	61	2	59	0	61
Wall of Revealing Light	0	2	0	2	0	2	0	2
Warrior Elimination	0	2	0	2	0	2	0	2
Warrior of Tradition	0	0	10	0	0	0	10	0
Wave-Motion Cannon	16	38	0	54	16	38	0	54
White Ninja	0	1	0	1	0	1	0	1
Widespread Ruin	112	29	0	141	112	29	0	141
X-Head Cannon	2	0	0	2	2	0	0	2
XYZ-Dragon Cannon	0	0	1	0	0	0	1	0
YZ-Tank Dragon	0	0	3	0	0	0	3	0
Yomi Ship	4	0	0	4	4	0	0	4
Zaborg the Thunder Monarch	147	19	0	166	147	19	0	166
Zombyra the Dark	3	9	0	12	3	9	0	12
